Basic Cards,,,,Price,Base Set,,,,,Intrigue,Intrige,Die Intrige,,,Seaside,Hijs de Zeilen,Seaside,,price,Prosperity,Welvaart,Blütezeit,,Alchemy,Alchemie,Die Alchemisten,,Promo,Promo,Promo,,Cornucopia,Overvloed,Reiche Ernte,,Hinterlands,Het Achterland,Hinterland,,Dark Ages,De Donkere Middeleeuwen,Dark Ages,,Price,Guilds,,Zunft,,
English,Nederlands,Deutsch,Français,,English,Nederlands,Deutsch,Français,,English,Nederlands,Deutsch,Français,,English,Nederlands,Deutsch,Français,,English,Nederlands,Deutsch,,English,Nederlands,Deutsch,,English,Nederlands,Deutsch,,English,Nederlands,Deutsch,,English,Nederlands,Deutsch,,English,Nederlands,Deutsch,Français,,English,Nederlands,Deutsch,,
Estate,Landgoed,Anwesen,Domaine,2,Adventurer,Avonturier,Abenteurer,Aventurier,6,Baron,Baron,Baron,Baron,4,Ambassador,Boodschapper,Botschafter,,3,Bank,Bank,Bank,7,Alchemist,Alchemist,Alchemist,3+1P,Black Market,,Schwarzmarkt,3,Fairgrounds,Kermisterrein,Festplatz,6,Border Village,Grensdorp,Grenzdorf,6,Altar,,,Autel,6,,,,,
Duchy,Hertogdom,Herzogtum,Duché,5,Bureaucrat,Bureaucraat,Bürokrat,Bureaucrate,4,Bridge,Brug,Brücke,Pont,4,Bazaar,Bazaar,Bazar,,5,Bishop,Bisschop,Bisschof,4,Apothecary,Apotheker,Apotheker,2+1P,Envoy,,Gesandter,4,Farming Village,Boerendorp,Bauerndorf,4,Cache,Bewaarplaats,Schatztruhe,5,Armory,,,Armurerie,4,,,,,
Province,Provincie,Provinz,Province,8,Cellar,Kelder,Keller,Cave,2,Conspirator,Samenzweerder,Verschwörer,Conspirateur,4,Caravan,Karavaan,Karawane,,4,City,Stad,Stadt,5,Apprentice,Leerling,Lehrling,5,Stash,Geldbuidel,Geldversteck,5,Fortune Teller,Waarzegster,Wahrsagerin,3,Cartographer,Cartograaf,Kartograph,5,Band of Misfits,,,,5,,,,,
Copper,Koper,Kupfer,Cuivre,0,Chancellor,Raadsheer,Kanzler,Chancelier,3,Coppersmith,Kopersmid,Kupferschmied,Chaudronnier,4,Cutpurse,Beurzensnijder,Beutelschneider,,4,Contraband,Smokkelwaar,Schmuggelware,5,Familiar,Oude Bekende,,3+1P,Walled Village,,,4,Hamlet,Gehucht,Weiler ,2,Crossroads,Splitsing,Wegkreuzung,2,Bandit Camp,,,,5,,,,,
Silver,Silver,Silber,Argent,3,Chapel,Kapel,Kapelle,Chapelle,2,Courtyard,Binnenplaats,Burghof,Cour,2,Embargo,Embargo,Embargo,,2,Counting House,Boekhouding,Leihhaus,5,Golem,Golem,Golem,4+1P,Governor,,,5,Harvest,Oogst,Ernte,5,Develop,Ontwikkelen,Aufbau,3,Beggar,,,,2,#,Carte,Boite,Prix,Type
Gold,Goud,Gold,Or,6,Council Room,Raadszaal,Ratsversammlung,Chambre du conseil,5,Duke,Hertog,Herzog,Duc,5,Explorer,Ontdekkingsreiziger,Entdecker,,5,Expand,Uitbreiden,Ausbau,7,Herbalist,Kruidenexpert,Kräuterkundiger,2,,,,,Horn of Plenty,Hoorn des overvloeds,Füllhorn,5,Duchess,Hertogin,Herzogin,2,Catacombs,,,,5,1,,,,
Curse,Vloek,Fluch,,0,Feast,Feest,Festmahl,Festin,4,Great Hall,Grote Zaal,Grosse Halle,Grand hall,3,Fishing Village,Vissersdorp,Fischerdof,,2,Forge,Vervalsen,Kunstschmiede,7,Philosopher's Stone,Steen der Wijzen,Stein der Weisen,3+1P,,,,,Horse Traders,Paardenhandelaars,Pferdehändler,4,Embassy,Ambassade,Botschaft,5,Count,,,,5,,,,,
Platinum,,Platin,,9,Festival,Festival,Jahrmarkt,Festival,5,Harem,Harem,Harem,Harem,6,Ghost Ship,De vliegende hollander,Geisterschiff,,5,Goons,Domkoppen,Halsabschneider,6,Possession,,Besessenheit,6+1P,,,,,Hunting Party,Jachtgezelschap,Treibjagd,5,Farmland,Landbouwgrond,Fruchtbares Land,6,Counterfeit,,,,5,LAgeDesTénèbres,4,Action,,
Colony,,Kolonie,,11,Gardens,Tuinen,Gärten,Jardins,4,Ironworks,Ijzergieterij,Eisenhütte,Fonderie,4,Haven,Haven,Hafen,,2,Grand Market,Grote Markt,Grosser Markt,6,Scrying Pool,Visioen,Vision,2+1P,,,,,Jester,Nar,Harlekin,5,Fool's Gold,Klatergoud,Katzengold,2,Cultist,,,,5,2,,,,
,,,,,Laboratory,Laboratorium,Laboratorium,Laboratoire,5,Masquerade,Maskerade,Maskerade,Mascarade,3,Island,Eiland,Insel,,4,Hoard,Spaargeld,Hort,6,Transmute,Transformatie,Verwandlung,1P,,,,,Menagerie,Menagerie,Menagerie,3,Haggler,Sjacheraard,Feilscher,5,Death Cart,,,,4,,,,,
,,,,,Library,Bibliotheek,Bibliothek,Bibliothèque,5,Mining Village,Mijndorp,Bergwerk,Village minier,4,Lighthouse,Vuurtoren,Leuchtturm,,2,King's Court,Koningshof,Königshof,7,University,Universiteit,Universität,2+1P,,,,,Remake,Nieuwe versie,Nachbau,4,Highway,Hoofdweg,Fernstrasse,5,Feodum,,,,4,LAgeDesTénèbres,6,Action,,
,,,,,Market,Markt,Markt,Marché,5,Minion,Dienaar,Lakai,Larbin,5,Lookout,Uitkijk,Ausguck,,3,Loan,Lening,Lohn,3,Vineyard,,Weinberg,1P,,,,,Tournament,Toernooi,Turnier,4,Ill-Gotten Gains,Gestolen goed,Blutzoll,5,Forager,,,,3,3,,,,
,,,,,Militia,Militie,Miliz,Milice,4,Nobles,Adel,Adelige,Nobles,6,Merchant Ship,Handelsschip,Handelsschiff,,5,Mint,Aanmunten,Münzer,5,Potion,,Trank,4,,,,,Young Witch,Jonge Heks,Junge Hexe,4,Inn,Herberg,Gasthaus,5,Fortress,,,,4,Bandit,,,,
,,,,,Mine,Mijn,Mine,Mine,5,Pawn,Pion,Handlanger,Pion,2,Native Village,Inheems dorp,Eingeborenendorf,,2,Monument,Monument,Denkmal,4,,,,,,,,,,,,,Jack of All Trades,Manusje-van-alles,Lebenskünstler,4,Graverobber,,,,5,LAgeDesTénèbres,5,Action,,
,,,,,Moat,Slotgracht,Burggraben,Douves,2,Saboteur,Saboteur,Saboteur,Saboteur,5,Navigator,Navigator,Navigator,,4,Mountebank,Charlatan,Quacksalber,5,,,,,,,,,,,,,Mandarin,Mandarijn,Mandarin,5,Hermit,,,,2,4,,,,
,,,,,Moneylender,Geldschieter,Geldverleiher,Prêteur sur gages,4,Scout,Verkenner,Späher,Eclaireur,4,Outpost,Voorpost,Aussenposten,,5,Peddler,Venter,Hausierer,8,,,,,,,,,,,,,Margrave,Markgraaf,Markgraf,5,Hunting Grounds,,,,6,Bibliothèque en Ruines,,,,
,,,,,Remodel,Verbouwing,Umbau,Rénovation,4,Secret Chamber,Geheime kamer,Geheimkammer,Chambre secrète,2,Pearl Diver,Parelduiker,Perlentaucher,,2,Quarry,Steengroeve,Steinbruch,4,,,,,,,,,,,,,Noble Brigand,Nobele bandiet,Edler Räuber,4,Ironmonger,,,,4,LAgeDesTénèbres,0,Action Ruines,,
,,,,,Smithy,Smidse,Schmiede,Forgeron,4,Shanty Town,Sloppenwijk,Armenviertel,Taudis,3,Pirate Ship,Piratenschip,Piratenschiff,,4,Rabble,Gespuis,,5,,,,,,,,,,,,,Nomad Camp,Nomadenkamp,Nomadencamp,4,Junk Dealer,,,,5,5,,,,
,,,,,Spy,Spion,Spion,Espion,4,Steward,Lakei,Verwalter,,3,Salvager,Afvalverwerker,Müllverwerter,,4,Royal Seal,Koninklijk zegel,Königliches Siegel,5,,,,,,,,,,,,,Oasis,Oase,Oase,3,Madman,,,,*,Brocanteur,,,,
,,,,,Thief,Dief,Dieb,Voleur,4,Swindler,Oplichter,Trickser,Escroc,3,Sea Hag,Zeeheks,Seehexe,,4,Talisman,Talisman,Talisman,4,,,,,,,,,,,,,Oracle,Orakel,Orakel,3,Marauder,,,,4,LAgeDesTénèbres,5,Action,,
